1000,99833,560549
2000,126540,54654
3000,115110,53049
4000,103148,53245
5000,123658,53610
6000,102246,52995
7000,104848,53207
8000,110657,53299
9000,64902,53300
10000,55286,53297
11000,54253,53230
12000,54230,53089
13000,54068,53223
14000,54195,52848
15000,54322,56513
16000,54106,53086
17000,53512,53172
18000,54455,53218
19000,54251,53305
20000,54353,53088
21000,54251,53157
22000,54319,53186
23000,54225,56161
24000,54334,53070
25000,54114,53378
26000,54396,53120
27000,57180,53113
28000,54461,53076
29000,54164,53200
30000,54410,53279
31000,54236,53332
32000,54250,53129
33000,54318,53147
34000,54287,53168
35000,54318,53240
36000,54382,53218
37000,54358,53085
38000,54206,53084
39000,54046,53405
40000,54229,52987
41000,54422,53243
42000,54311,53378
43000,54195,52407
44000,54381,53040
45000,54050,53153
46000,54088,56211
47000,54317,53309
48000,57053,53343
49000,54419,53173
